标题,长度,访问号,物种,属名,菌株,基因类型,序列类型,高得分片段对(HSPs),E值,比对长度,相同碱基数,相似度,缺口数,查询起始-结束,命中起始-结束
"gi|2246620846|gb|CP072559.1| Pseudomonas sp. BYT-1 chromosome, complete genome",5561081,CP072559.1,Pseudomonas sp,Pseudomonas,,,complete genome,1,0.00e+00,1117,1114,99.73%,1,6-1121,4777769-4778885
"gi|2246620846|gb|CP072559.1| Pseudomonas sp. BYT-1 chromosome, complete genome",5561081,CP072559.1,Pseudomonas sp,Pseudomonas,,,complete genome,1,0.00e+00,1117,1114,99.73%,1,6-1121,5027664-5028780
"gi|1976460662|gb|MW578897.1| Pseudomonas sp. strain WM45 16S ribosomal RNA gene, partial sequence",1438,MW578897.1,Pseudomonas sp,Pseudomonas,strain WM45,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1119,1115,99.64%,0,6-1124,1428-310
"gi|2096141156|gb|OK178031.1| Pseudomonas sp. strain B11 16S ribosomal RNA gene, partial sequence",1433,OK178031.1,Pseudomonas sp,Pseudomonas,strain B11,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1122,1117,99.55%,0,3-1124,1428-307
"gi|2962412322|ref|NR_199517.1| Pseudomonas machongensis strain MH2 16S ribosomal RNA, partial sequence >gi|2642996668|gb|PP061858.1| Pseudomonas machongensis strain MH2 16S ribosomal RNA gene, partial sequence",1415,NR_199517.1,Pseudomonas machongensis,Pseudomonas,strain MH2,16S ribosomal RNA,partial sequence,1,0.00e+00,1120,1116,99.64%,1,6-1124,1404-285
"gi|2786198293|gb|CP150139.1| Pseudomonas xanthosomatis strain YZ03 chromosome, complete genome",6658542,CP150139.1,Pseudomonas xanthosomatis,Pseudomonas,strain YZ03,,complete genome,1,0.00e+00,1120,1116,99.64%,1,6-1124,480382-479263
"gi|2786198293|gb|CP150139.1| Pseudomonas xanthosomatis strain YZ03 chromosome, complete genome",6658542,CP150139.1,Pseudomonas xanthosomatis,Pseudomonas,strain YZ03,,complete genome,1,0.00e+00,1120,1116,99.64%,1,6-1124,1334324-1333205
"gi|2786198293|gb|CP150139.1| Pseudomonas xanthosomatis strain YZ03 chromosome, complete genome",6658542,CP150139.1,Pseudomonas xanthosomatis,Pseudomonas,strain YZ03,,complete genome,1,0.00e+00,1117,1114,99.73%,1,6-1121,5739702-5740818
"gi|2786198293|gb|CP150139.1| Pseudomonas xanthosomatis strain YZ03 chromosome, complete genome",6658542,CP150139.1,Pseudomonas xanthosomatis,Pseudomonas,strain YZ03,,complete genome,1,0.00e+00,1120,1115,99.55%,1,6-1124,1939-820
"gi|2786198293|gb|CP150139.1| Pseudomonas xanthosomatis strain YZ03 chromosome, complete genome",6658542,CP150139.1,Pseudomonas xanthosomatis,Pseudomonas,strain YZ03,,complete genome,1,0.00e+00,1120,1115,99.55%,2,6-1124,826790-825672
"gi|2786198293|gb|CP150139.1| Pseudomonas xanthosomatis strain YZ03 chromosome, complete genome",6658542,CP150139.1,Pseudomonas xanthosomatis,Pseudomonas,strain YZ03,,complete genome,1,0.00e+00,1117,1113,99.64%,2,6-1121,4265921-4267036
"gi|2038038680|gb|MZ198263.1| Pseudomonas sp. strain B-10 16S ribosomal RNA gene, partial sequence",1441,MZ198263.1,Pseudomonas sp,Pseudomonas,strain B-10,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1119,1115,99.64%,0,6-1124,1431-313
"gi|2258106807|gb|ON818229.1| Pseudomonas guariconensis strain 11R-C 16S ribosomal RNA gene, partial sequence",1499,ON818229.1,Pseudomonas guariconensis,Pseudomonas,strain 11R-C,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1120,1116,99.64%,1,6-1124,1460-341
"gi|2047585461|gb|MZ331323.1| Pseudomonas sp. strain WM32 16S ribosomal RNA gene, partial sequence",1442,MZ331323.1,Pseudomonas sp,Pseudomonas,strain WM32,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1119,1115,99.64%,0,6-1124,1432-314
"gi|3031237963|gb|CP194068.1| Pseudomonas guariconensis strain PM99 chromosome, complete genome",5759654,CP194068.1,Pseudomonas guariconensis,Pseudomonas,strain PM99,,complete genome,1,0.00e+00,1120,1116,99.64%,1,6-1124,812978-811859
"gi|3031237963|gb|CP194068.1| Pseudomonas guariconensis strain PM99 chromosome, complete genome",5759654,CP194068.1,Pseudomonas guariconensis,Pseudomonas,strain PM99,,complete genome,1,0.00e+00,1117,1114,99.73%,1,6-1121,4016615-4017731
"gi|3031237963|gb|CP194068.1| Pseudomonas guariconensis strain PM99 chromosome, complete genome",5759654,CP194068.1,Pseudomonas guariconensis,Pseudomonas,strain PM99,,complete genome,1,0.00e+00,1120,1116,99.64%,1,6-1124,4796589-4795470
"gi|3031237963|gb|CP194068.1| Pseudomonas guariconensis strain PM99 chromosome, complete genome",5759654,CP194068.1,Pseudomonas guariconensis,Pseudomonas,strain PM99,,complete genome,1,0.00e+00,1117,1113,99.64%,1,6-1121,3238205-3239321
"gi|3031237963|gb|CP194068.1| Pseudomonas guariconensis strain PM99 chromosome, complete genome",5759654,CP194068.1,Pseudomonas guariconensis,Pseudomonas,strain PM99,,complete genome,1,0.00e+00,1117,1113,99.64%,1,6-1121,3683581-3684697
"gi|3031237963|gb|CP194068.1| Pseudomonas guariconensis strain PM99 chromosome, complete genome",5759654,CP194068.1,Pseudomonas guariconensis,Pseudomonas,strain PM99,,complete genome,1,0.00e+00,1120,1115,99.55%,1,6-1124,5346419-5345300
