标题,长度,访问号,物种,属名,菌株,基因类型,序列类型,高得分片段对(HSPs),E值,比对长度,相同碱基数,相似度,缺口数,查询起始-结束,命中起始-结束
"gi|2072654753|gb|CP072549.1| Acinetobacter lwoffii strain H7 chromosome, complete genome",3040667,CP072549.1,Acinetobacter lwoffii,Acinetobacter,strain H7,,complete genome,1,0.00e+00,1113,1106,99.37%,3,6-1117,587241-586131
"gi|2072654753|gb|CP072549.1| Acinetobacter lwoffii strain H7 chromosome, complete genome",3040667,CP072549.1,Acinetobacter lwoffii,Acinetobacter,strain H7,,complete genome,1,0.00e+00,1113,1106,99.37%,3,6-1117,1639627-1640737
"gi|2072654753|gb|CP072549.1| Acinetobacter lwoffii strain H7 chromosome, complete genome",3040667,CP072549.1,Acinetobacter lwoffii,Acinetobacter,strain H7,,complete genome,1,0.00e+00,1113,1106,99.37%,3,6-1117,1713105-1714215
"gi|2072654753|gb|CP072549.1| Acinetobacter lwoffii strain H7 chromosome, complete genome",3040667,CP072549.1,Acinetobacter lwoffii,Acinetobacter,strain H7,,complete genome,1,0.00e+00,1113,1106,99.37%,3,6-1117,2010208-2011318
"gi|2072654753|gb|CP072549.1| Acinetobacter lwoffii strain H7 chromosome, complete genome",3040667,CP072549.1,Acinetobacter lwoffii,Acinetobacter,strain H7,,complete genome,1,0.00e+00,1113,1106,99.37%,3,6-1117,2191146-2192256
"gi|2072654753|gb|CP072549.1| Acinetobacter lwoffii strain H7 chromosome, complete genome",3040667,CP072549.1,Acinetobacter lwoffii,Acinetobacter,strain H7,,complete genome,1,0.00e+00,1113,1106,99.37%,3,6-1117,2247524-2246414
"gi|1868967174|gb|MT745879.1| Acinetobacter lwoffii strain LN4 16S ribosomal RNA gene, partial sequence",1441,MT745879.1,Acinetobacter lwoffii,Acinetobacter,strain LN4,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1112,1107,99.55%,2,6-1117,1431-322
"gi|2425237390|gb|OQ217336.1| Uncultured Acinetobacter sp. clone 9-FFC-1 16S ribosomal RNA gene, partial sequence",1437,OQ217336.1,Uncultured,Uncultured,clone 9-FFC-1,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1112,1107,99.55%,2,6-1117,1426-317
gi|1858689932|gb|CP054822.1| Acinetobacter lwoffii strain FDAARGOS_551 chromosome,3307484,CP054822.1,Acinetobacter lwoffii,Acinetobacter,strain FDAARGOS_551,,,1,0.00e+00,1113,1108,99.55%,3,6-1117,904876-905986
gi|1858689932|gb|CP054822.1| Acinetobacter lwoffii strain FDAARGOS_551 chromosome,3307484,CP054822.1,Acinetobacter lwoffii,Acinetobacter,strain FDAARGOS_551,,,1,0.00e+00,1113,1107,99.46%,3,6-1117,3051840-3050730
gi|1858689932|gb|CP054822.1| Acinetobacter lwoffii strain FDAARGOS_551 chromosome,3307484,CP054822.1,Acinetobacter lwoffii,Acinetobacter,strain FDAARGOS_551,,,1,0.00e+00,1113,1106,99.37%,3,6-1117,2055270-2054160
gi|1858689932|gb|CP054822.1| Acinetobacter lwoffii strain FDAARGOS_551 chromosome,3307484,CP054822.1,Acinetobacter lwoffii,Acinetobacter,strain FDAARGOS_551,,,1,0.00e+00,1113,1104,99.19%,3,6-1117,2162388-2161278
gi|1858689932|gb|CP054822.1| Acinetobacter lwoffii strain FDAARGOS_551 chromosome,3307484,CP054822.1,Acinetobacter lwoffii,Acinetobacter,strain FDAARGOS_551,,,1,0.00e+00,1113,1103,99.10%,3,6-1117,1526659-1525549
gi|1858689932|gb|CP054822.1| Acinetobacter lwoffii strain FDAARGOS_551 chromosome,3307484,CP054822.1,Acinetobacter lwoffii,Acinetobacter,strain FDAARGOS_551,,,1,0.00e+00,1113,1102,99.01%,3,6-1117,1467702-1468812
gi|1858689932|gb|CP054822.1| Acinetobacter lwoffii strain FDAARGOS_551 chromosome,3307484,CP054822.1,Acinetobacter lwoffii,Acinetobacter,strain FDAARGOS_551,,,1,0.00e+00,1113,1099,98.74%,3,6-1117,1757548-1756438
"gi|501412811|gb|KC816553.1| Acinetobacter lwoffii strain GY-24 16S ribosomal RNA gene, partial sequence",1409,KC816553.1,Acinetobacter lwoffii,Acinetobacter,strain GY-24,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1109,1105,99.64%,2,9-1117,1409-303
"gi|2058534865|gb|CP077336.1| Acinetobacter lwoffii strain FDAARGOS 1393 chromosome, complete genome",3166595,CP077336.1,Acinetobacter lwoffii,Acinetobacter,strain FDAARGOS,,complete genome,1,0.00e+00,1113,1108,99.55%,3,6-1117,1468772-1467662
"gi|2058534865|gb|CP077336.1| Acinetobacter lwoffii strain FDAARGOS 1393 chromosome, complete genome",3166595,CP077336.1,Acinetobacter lwoffii,Acinetobacter,strain FDAARGOS,,complete genome,1,0.00e+00,1113,1106,99.37%,3,6-1117,845516-846626
"gi|2058534865|gb|CP077336.1| Acinetobacter lwoffii strain FDAARGOS 1393 chromosome, complete genome",3166595,CP077336.1,Acinetobacter lwoffii,Acinetobacter,strain FDAARGOS,,complete genome,1,0.00e+00,1113,1106,99.37%,3,6-1117,1415002-1416112
"gi|2058534865|gb|CP077336.1| Acinetobacter lwoffii strain FDAARGOS 1393 chromosome, complete genome",3166595,CP077336.1,Acinetobacter lwoffii,Acinetobacter,strain FDAARGOS,,complete genome,1,0.00e+00,1113,1106,99.37%,3,6-1117,1684829-1683719
"gi|2058534865|gb|CP077336.1| Acinetobacter lwoffii strain FDAARGOS 1393 chromosome, complete genome",3166595,CP077336.1,Acinetobacter lwoffii,Acinetobacter,strain FDAARGOS,,complete genome,1,0.00e+00,1113,1106,99.37%,3,6-1117,1974402-1973292
"gi|2058534865|gb|CP077336.1| Acinetobacter lwoffii strain FDAARGOS 1393 chromosome, complete genome",3166595,CP077336.1,Acinetobacter lwoffii,Acinetobacter,strain FDAARGOS,,complete genome,1,0.00e+00,1113,1106,99.37%,3,6-1117,2049512-2048402
"gi|2058534865|gb|CP077336.1| Acinetobacter lwoffii strain FDAARGOS 1393 chromosome, complete genome",3166595,CP077336.1,Acinetobacter lwoffii,Acinetobacter,strain FDAARGOS,,complete genome,1,0.00e+00,1113,1106,99.37%,3,6-1117,2827975-2826865
"gi|1751391443|gb|CP019143.2| Acinetobacter lwoffii strain ZS207 chromosome, complete genome",3259224,CP019143.2,Acinetobacter lwoffii,Acinetobacter,strain ZS207,,complete genome,1,0.00e+00,1113,1108,99.55%,3,6-1117,536293-535183
"gi|1751391443|gb|CP019143.2| Acinetobacter lwoffii strain ZS207 chromosome, complete genome",3259224,CP019143.2,Acinetobacter lwoffii,Acinetobacter,strain ZS207,,complete genome,1,0.00e+00,1113,1106,99.37%,3,6-1117,26246-25136
"gi|1751391443|gb|CP019143.2| Acinetobacter lwoffii strain ZS207 chromosome, complete genome",3259224,CP019143.2,Acinetobacter lwoffii,Acinetobacter,strain ZS207,,complete genome,1,0.00e+00,1113,1106,99.37%,3,6-1117,229854-228744
"gi|1751391443|gb|CP019143.2| Acinetobacter lwoffii strain ZS207 chromosome, complete genome",3259224,CP019143.2,Acinetobacter lwoffii,Acinetobacter,strain ZS207,,complete genome,1,0.00e+00,1113,1106,99.37%,3,6-1117,647421-646311
"gi|1751391443|gb|CP019143.2| Acinetobacter lwoffii strain ZS207 chromosome, complete genome",3259224,CP019143.2,Acinetobacter lwoffii,Acinetobacter,strain ZS207,,complete genome,1,0.00e+00,1113,1106,99.37%,3,6-1117,1488514-1487404
"gi|1751391443|gb|CP019143.2| Acinetobacter lwoffii strain ZS207 chromosome, complete genome",3259224,CP019143.2,Acinetobacter lwoffii,Acinetobacter,strain ZS207,,complete genome,1,0.00e+00,1113,1106,99.37%,3,6-1117,2660079-2661189
"gi|1751391443|gb|CP019143.2| Acinetobacter lwoffii strain ZS207 chromosome, complete genome",3259224,CP019143.2,Acinetobacter lwoffii,Acinetobacter,strain ZS207,,complete genome,1,0.00e+00,1113,1106,99.37%,3,6-1117,3228241-3229351
"gi|2452059403|gb|CP118963.1| Acinetobacter lwoffii strain DSM 2403 chromosome, complete genome",3166595,CP118963.1,Acinetobacter lwoffii,Acinetobacter,strain DSM,,complete genome,1,0.00e+00,1113,1108,99.55%,3,6-1117,26246-25136
"gi|2452059403|gb|CP118963.1| Acinetobacter lwoffii strain DSM 2403 chromosome, complete genome",3166595,CP118963.1,Acinetobacter lwoffii,Acinetobacter,strain DSM,,complete genome,1,0.00e+00,1113,1106,99.37%,3,6-1117,242303-241193
"gi|2452059403|gb|CP118963.1| Acinetobacter lwoffii strain DSM 2403 chromosome, complete genome",3166595,CP118963.1,Acinetobacter lwoffii,Acinetobacter,strain DSM,,complete genome,1,0.00e+00,1113,1106,99.37%,3,6-1117,531876-530766
"gi|2452059403|gb|CP118963.1| Acinetobacter lwoffii strain DSM 2403 chromosome, complete genome",3166595,CP118963.1,Acinetobacter lwoffii,Acinetobacter,strain DSM,,complete genome,1,0.00e+00,1113,1106,99.37%,3,6-1117,606986-605876
"gi|2452059403|gb|CP118963.1| Acinetobacter lwoffii strain DSM 2403 chromosome, complete genome",3166595,CP118963.1,Acinetobacter lwoffii,Acinetobacter,strain DSM,,complete genome,1,0.00e+00,1113,1106,99.37%,3,6-1117,1385449-1384339
"gi|2452059403|gb|CP118963.1| Acinetobacter lwoffii strain DSM 2403 chromosome, complete genome",3166595,CP118963.1,Acinetobacter lwoffii,Acinetobacter,strain DSM,,complete genome,1,0.00e+00,1113,1106,99.37%,3,6-1117,2569585-2570695
"gi|2452059403|gb|CP118963.1| Acinetobacter lwoffii strain DSM 2403 chromosome, complete genome",3166595,CP118963.1,Acinetobacter lwoffii,Acinetobacter,strain DSM,,complete genome,1,0.00e+00,1113,1106,99.37%,3,6-1117,3139071-3140181
"gi|2989814020|gb|CP192635.1| Acinetobacter lwoffii strain TMP6 chromosome, complete genome",3180824,CP192635.1,Acinetobacter lwoffii,Acinetobacter,strain TMP6,,complete genome,1,0.00e+00,1113,1108,99.55%,3,6-1117,27531-26421
"gi|2989814020|gb|CP192635.1| Acinetobacter lwoffii strain TMP6 chromosome, complete genome",3180824,CP192635.1,Acinetobacter lwoffii,Acinetobacter,strain TMP6,,complete genome,1,0.00e+00,1113,1108,99.55%,3,6-1117,193771-192661
"gi|2989814020|gb|CP192635.1| Acinetobacter lwoffii strain TMP6 chromosome, complete genome",3180824,CP192635.1,Acinetobacter lwoffii,Acinetobacter,strain TMP6,,complete genome,1,0.00e+00,1113,1108,99.55%,3,6-1117,490613-489503
"gi|2989814020|gb|CP192635.1| Acinetobacter lwoffii strain TMP6 chromosome, complete genome",3180824,CP192635.1,Acinetobacter lwoffii,Acinetobacter,strain TMP6,,complete genome,1,0.00e+00,1113,1108,99.55%,3,6-1117,3153367-3154477
"gi|2989814020|gb|CP192635.1| Acinetobacter lwoffii strain TMP6 chromosome, complete genome",3180824,CP192635.1,Acinetobacter lwoffii,Acinetobacter,strain TMP6,,complete genome,1,0.00e+00,1113,1106,99.37%,3,6-1117,602369-601259
"gi|2989814020|gb|CP192635.1| Acinetobacter lwoffii strain TMP6 chromosome, complete genome",3180824,CP192635.1,Acinetobacter lwoffii,Acinetobacter,strain TMP6,,complete genome,1,0.00e+00,1113,1106,99.37%,3,6-1117,1433450-1432340
"gi|2989814020|gb|CP192635.1| Acinetobacter lwoffii strain TMP6 chromosome, complete genome",3180824,CP192635.1,Acinetobacter lwoffii,Acinetobacter,strain TMP6,,complete genome,1,0.00e+00,1113,1106,99.37%,3,6-1117,2523090-2524200
"gi|426209224|gb|KC172007.1| Acinetobacter sp. JF32 16S ribosomal RNA gene, partial sequence",1502,KC172007.1,Acinetobacter sp,Acinetobacter,,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1113,1108,99.55%,3,6-1117,1458-348
"gi|2058538002|gb|CP077369.1| Acinetobacter lwoffii strain FDAARGOS 1394 chromosome, complete genome",3226399,CP077369.1,Acinetobacter lwoffii,Acinetobacter,strain FDAARGOS,,complete genome,1,0.00e+00,1113,1108,99.55%,3,6-1117,313542-314652
"gi|2058538002|gb|CP077369.1| Acinetobacter lwoffii strain FDAARGOS 1394 chromosome, complete genome",3226399,CP077369.1,Acinetobacter lwoffii,Acinetobacter,strain FDAARGOS,,complete genome,1,0.00e+00,1113,1106,99.37%,3,6-1117,603634-604744
"gi|2058538002|gb|CP077369.1| Acinetobacter lwoffii strain FDAARGOS 1394 chromosome, complete genome",3226399,CP077369.1,Acinetobacter lwoffii,Acinetobacter,strain FDAARGOS,,complete genome,1,0.00e+00,1113,1106,99.37%,3,6-1117,822002-823112
"gi|2058538002|gb|CP077369.1| Acinetobacter lwoffii strain FDAARGOS 1394 chromosome, complete genome",3226399,CP077369.1,Acinetobacter lwoffii,Acinetobacter,strain FDAARGOS,,complete genome,1,0.00e+00,1113,1106,99.37%,3,6-1117,875724-874614
"gi|2058538002|gb|CP077369.1| Acinetobacter lwoffii strain FDAARGOS 1394 chromosome, complete genome",3226399,CP077369.1,Acinetobacter lwoffii,Acinetobacter,strain FDAARGOS,,complete genome,1,0.00e+00,1113,1106,99.37%,3,6-1117,2613543-2614653
"gi|2058538002|gb|CP077369.1| Acinetobacter lwoffii strain FDAARGOS 1394 chromosome, complete genome",3226399,CP077369.1,Acinetobacter lwoffii,Acinetobacter,strain FDAARGOS,,complete genome,1,0.00e+00,1113,1104,99.19%,3,6-1117,201469-202579
"gi|2058538002|gb|CP077369.1| Acinetobacter lwoffii strain FDAARGOS 1394 chromosome, complete genome",3226399,CP077369.1,Acinetobacter lwoffii,Acinetobacter,strain FDAARGOS,,complete genome,1,0.00e+00,1113,1102,99.01%,3,6-1117,1458497-1457387
