标题,长度,访问号,物种,属名,菌株,基因类型,序列类型,高得分片段对(HSPs),E值,比对长度,相同碱基数,相似度,缺口数,查询起始-结束,命中起始-结束
"gi|2425237903|gb|OQ217596.1| Uncultured Aeromonas sp. clone 18-SxT-1 16S ribosomal RNA gene, partial sequence",1432,OQ217596.1,Uncultured,Uncultured,clone 18-SxT-1,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1081,1080,99.91%,1,4-1083,1430-350
"gi|317408881|gb|HQ292719.2| Aeromonas sp. L3 16S ribosomal RNA gene, partial sequence",1506,HQ292719.2,Aeromonas sp,Aeromonas,,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1083,1081,99.82%,2,3-1083,1471-389
"gi|572168590|gb|KC969083.1| Aeromonas veronii strain OKF10 16S ribosomal RNA gene, partial sequence",1448,KC969083.1,Aeromonas veronii,Aeromonas,strain OKF10,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1085,1082,99.72%,2,1-1083,1444-360
"gi|472247121|gb|KC573782.1| Aeromonas sobria strain GX-1 16S ribosomal RNA gene, partial sequence",1444,KC573782.1,Aeromonas sobria,Aeromonas,strain GX-1,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1082,1080,99.82%,2,3-1083,1440-360
"gi|2736346774|gb|PP837730.1| Aeromonas sp. strain JZ4 16S ribosomal RNA gene, partial sequence >gi|2785242247|gb|PQ164251.1| Aeromonas veronii strain JZ4 16S ribosomal RNA gene, partial sequence",1448,PP837730.1,Aeromonas veronii,Aeromonas,strain JZ4,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1082,1080,99.82%,2,3-1083,1442-362
"gi|526132730|gb|KF285586.1| Aeromonas veronii strain HT13 16S ribosomal RNA gene, partial sequence",1450,KF285586.1,Aeromonas veronii,Aeromonas,strain HT13,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1079,1078,99.91%,1,6-1083,1441-363
"gi|2428898242|gb|OQ283656.1| Aeromonas veronii strain GALS1 16S ribosomal RNA gene, partial sequence",1440,OQ283656.1,Aeromonas veronii,Aeromonas,strain GALS1,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1077,1076,99.91%,0,7-1083,1435-359
"gi|1061984740|gb|KX585901.1| Aeromonas veronii strain QD160502 16S ribosomal RNA gene, partial sequence",1441,KX585901.1,Aeromonas veronii,Aeromonas,strain QD160502,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1082,1080,99.82%,2,4-1083,1439-358
"gi|537851542|gb|KF413415.1| Aeromonas veronii strain HL-9 16S ribosomal RNA gene, partial sequence",1451,KF413415.1,Aeromonas veronii,Aeromonas,strain HL-9,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1082,1080,99.82%,1,3-1083,1446-365
"gi|2221258499|gb|ON203032.1| Aeromonas hydrophila strain CH-GX-YL-DB-1-2021 16S ribosomal RNA gene, partial sequence",1439,ON203032.1,Aeromonas hydrophila,Aeromonas,strain CH-GX-YL-DB-1-2021,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1082,1080,99.82%,2,4-1083,1439-358
