标题,长度,访问号,物种,属名,菌株,基因类型,序列类型,高得分片段对(HSPs),E值,比对长度,相同碱基数,相似度,缺口数,查询起始-结束,命中起始-结束
"gi|2944406292|gb|PV383817.1| Bacillus paralicheniformis strain TRM58118 16S ribosomal RNA gene, partial sequence",1458,PV383817.1,Bacillus paralicheniformis,Bacillus,strain TRM58118,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1076,1074,99.81%,1,4-1078,1451-376
"gi|1810584856|gb|MT072145.1| Bacillus licheniformis strain QT201 16S ribosomal RNA gene, partial sequence",1458,MT072145.1,Bacillus licheniformis,Bacillus,strain QT201,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1075,1073,99.81%,0,4-1078,1452-378
"gi|1409830057|gb|MH542289.1| Bacillus paralicheniformis strain OOM2 16S ribosomal RNA gene, partial sequence >gi|1409830090|gb|MH542322.1| Bacillus paralicheniformis strain OFF23 16S ribosomal RNA gene, partial sequence",1434,MH542289.1,Bacillus paralicheniformis,Bacillus,strain OOM2,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1076,1074,99.81%,1,4-1078,1434-359
"gi|2090799491|gb|OK067288.1| Bacillus licheniformis strain WHS31 16S ribosomal RNA gene, partial sequence",1190,OK067288.1,Bacillus licheniformis,Bacillus,strain WHS31,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1072,1071,99.91%,0,7-1078,1183-112
"gi|2094059217|gb|OK094134.1| Bacillus licheniformis strain WHW40 16S ribosomal RNA gene, partial sequence",1317,OK094134.1,Bacillus licheniformis,Bacillus,strain WHW40,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1072,1071,99.91%,0,7-1078,1307-236
"gi|1129799842|gb|KY433888.1| Bacillus licheniformis strain ABTNL 1 16S ribosomal RNA gene, partial sequence",1457,KY433888.1,Bacillus licheniformis,Bacillus,strain ABTNL,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1076,1074,99.81%,1,4-1078,1449-374
"gi|1043489455|gb|KU531601.1| Bacillus sp. (in: Bacteria) 16S ribosomal RNA gene, partial sequence",1426,KU531601.1,Bacillus sp,Bacillus,,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1072,1071,99.91%,0,7-1078,1426-355
"gi|2418284074|gb|OQ135133.1| Bacillus licheniformis strain J-41 16S ribosomal RNA gene, partial sequence",1443,OQ135133.1,Bacillus licheniformis,Bacillus,strain J-41,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1072,1071,99.91%,0,7-1078,1435-364
"gi|3027968286|gb|PV960682.1| Bacillus licheniformis strain L6 16S ribosomal RNA gene, partial sequence",1292,PV960682.1,Bacillus licheniformis,Bacillus,strain L6,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1073,1071,99.81%,0,6-1078,1291-219
"gi|2865742650|gb|PQ691803.1| Bacillus sp. (in: firmicutes) strain BSDF45-2 16S ribosomal RNA gene, partial sequence",1437,PQ691803.1,Bacillus sp,Bacillus,strain BSDF45-2,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1072,1070,99.81%,0,7-1078,1434-363
