标题,长度,访问号,物种,属名,菌株,基因类型,序列类型,高得分片段对(HSPs),E值,比对长度,相同碱基数,相似度,缺口数,查询起始-结束,命中起始-结束
"gi|2221072133|gb|ON197832.1| Aeromonas veronii strain ZYLY21 16S ribosomal RNA gene, partial sequence",1448,ON197832.1,Aeromonas veronii,Aeromonas,strain ZYLY21,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1113,1111,99.82%,1,6-1118,1440-329
"gi|239836005|gb|FJ494902.1| Aeromonas veronii strain 08001 16S ribosomal RNA gene, partial sequence",1443,FJ494902.1,Aeromonas veronii,Aeromonas,strain 08001,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1113,1111,99.82%,1,6-1118,1436-325
"gi|2305901754|gb|OP476499.1| Aeromonas veronii strain AV2108 16S ribosomal RNA gene, partial sequence",1444,OP476499.1,Aeromonas veronii,Aeromonas,strain AV2108,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1113,1111,99.82%,1,6-1118,1440-329
"gi|2425237186|gb|OQ217236.1| Uncultured Aeromonas sp. clone 8-RIF-1 16S ribosomal RNA gene, partial sequence",1435,OQ217236.1,Uncultured,Uncultured,clone 8-RIF-1,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1113,1111,99.82%,1,6-1118,1432-321
"gi|2705458461|gb|PP549632.1| Aeromonas veronii strain BLS1 16S ribosomal RNA gene, partial sequence",1435,PP549632.1,Aeromonas veronii,Aeromonas,strain BLS1,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1112,1110,99.82%,1,7-1118,1429-319
"gi|2425237220|gb|OQ217253.1| Uncultured Aeromonas sp. clone 8-RIF-18 16S ribosomal RNA gene, partial sequence",1432,OQ217253.1,Uncultured,Uncultured,clone 8-RIF-18,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1112,1110,99.82%,1,7-1118,1426-316
"gi|2425237260|gb|OQ217273.1| Uncultured Aeromonas sp. clone 8-FFC-18 16S ribosomal RNA gene, partial sequence",1432,OQ217273.1,Uncultured,Uncultured,clone 8-FFC-18,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1112,1110,99.82%,1,7-1118,1426-316
"gi|2593243345|gb|OR687221.1| Aeromonas veronii strain 245 16S ribosomal RNA gene, partial sequence",1441,OR687221.1,Aeromonas veronii,Aeromonas,strain 245,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1112,1110,99.82%,1,7-1118,1435-325
"gi|2437729245|gb|OQ352594.1| Aeromonas sp. strain ssqy1 16S ribosomal RNA gene, partial sequence",1445,OQ352594.1,Aeromonas sp,Aeromonas,strain ssqy1,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1112,1110,99.82%,1,7-1118,1436-326
"gi|2425237903|gb|OQ217596.1| Uncultured Aeromonas sp. clone 18-SxT-1 16S ribosomal RNA gene, partial sequence",1432,OQ217596.1,Uncultured,Uncultured,clone 18-SxT-1,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1112,1110,99.82%,1,7-1118,1426-316
